Hotel Name,Location,Rating,Review Score,Number of   ,Room    Score,Room Type,Bed Type,Room Price (in BDT or any other currency)
Jaroonwej Bangsaen,Bangsaen,5.8,Review score,128,,Standard Apartment,1 king bed,"   58,435"
P'Un House,"Sairee Beach, Ko Tao",7.6,Good,127,,Standard Double Room with Air-Conditioning,1 full bed,"   48,554"
Srisomthai Hotel,Ubon Ratchathani,7.8,Good,12,8.1,Standard Double Room,1 full bed,"   32,994"
Andaman Bay Bungalow,"Klong Khong Beach, Ko Lanta",7.1,Good,72,,Budget Double Room,1 full bed,"   22,643"
President Hotel Udonthani,Udon Thani,8.1,Very Good,80,8.4,Deluxe Double Room,1 queen bed,"   60,490"
?????????????????,Sangkhla Buri,8,Very Good,43,8.4,Double Room,1 king bed,"   61,137"
Phalarn Inn Resort,Mae Nam,7.5,Good,179,,Two-Bedroom Cottage,"2 beds (1 full, 1 queen)","   116,451"
Poseidon Bungalows,Khao Lak,7.9,Good,240,,Bungalow with Sea View,"3 beds (1 full, 2 bunk beds)","   94,886"
65 hostel chiangmai,Chiang Mai,6.7,Review score,40,,Double or Twin Room with Bathroom,1 full bed,"   32,347"
65 hostel chiangmai,Chiang Mai,6.7,Review score,40,,Double or Twin Room with Bathroom,1 full bed,"   32,347"
Diary Suite,Nakhon Pathom,8.5,Very Good,205,8.8,Deluxe Twin Room,2 twin beds,"   54,991"
Shanti Lodge Phuket,Chalong,7.8,Good,138,,Double Room with Shared Bathroom,"3 beds (2 twins, 1 queen)","   49,556"
????????????? ? ????????(Once upon a time),"Chiang Khan Walking Street, Chiang Khan",7.5,Good,38,8,Double Room with Shared Bathroom,1 king bed,"   32,994"
Rasta view Bangalows,Ban Khlong Kloi,7.4,Good,29,,Double Room,1 full bed,"   29,113"
Garden Corner Resort & Hotel,Phitsanulok,7.4,Good,157,,Standard King Room,1 king bed,"   38,817"
D5 Hotel ???? ?????????,Chon Buri,8.7,Excellent,179,8.8,Deluxe Double Room,1 queen bed,"   32,445"
U Hostel Haad Rin,Ko Phangan,8,Very Good,84,,Economy Quadruple Room,2 bunk beds,"   113,986"
No. 8 Pai,Pai,8.4,Very Good,181,8.6,Standard Double Room with Fan,1 full bed,"   32,347"
Norn Talay Surin Beach Phuket,Surin Beach,7.9,Good,714,8.1,Deluxe Double or Twin Room with Sea View,"2 beds (1 sofa bed, 1 queen)","   344,861"
Oriole Residence - Suvarnabhumi,Ban Khlong Thewa,8.8,Excellent,166,9.2,Standard King Room,1 king bed,"   90,573"
?????????????? ???????????? ???? Impact,Thung Si Kan,7.4,Good,68,,Standard Twin Room,2 twin beds,"   58,919"
"Holiday Style Ao Nang Beach Resort, Krabi","Nopparat Thara Beach, Ao Nang Beach",8.2,Very Good,"1,098",8.5,Superior Double or Twin Room with Garden View,1 full bed,"   102,204"
Escape Beach Resort - SHA Extra Plus Certified,Mae Nam,8.2,Very Good,"1,583",8.6,Economy Double Room,1 king bed,"   119,778"
Avani Plus Riverside Bangkok Hotel,"Thonburi, Bangkok",9,Wonderful,754,9.4,Avani River View Two Bedroom Suite,"4 beds (2 twins, 1 king, 1 sofa bed)","   1,724,635"
VELA Dhi Udon Thani,Udon Thani,8.9,Excellent,269,9.4,Deluxe Twin Room,2 twin beds,"   145,564"
Anahata Resort - SHA Plus,Lipa Noi,8.9,Excellent,339,9.1,Superior Bungalow,1 full bed,"   178,558"
Outrigger Surin Beach Resort - SHA Extra Plus,Surin Beach,9.1,Wonderful,355,9.5,Grand Surin Suite 1 King,1 king bed,"   548,629"
Yao Yai Beach Resort,Ko Yao Yai,8.5,Very Good,364,8.8,Standard Room - No Sea View,1 queen bed,"   152,717"
The Peri Hotel Khao Yai,Phayayen,8,Very Good,235,8.4,King Room with Mountain View,1 king bed,"   197,905"
Khao Sok Jungle Huts Resort,Khao Sok National Park,8.2,Very Good,800,8.1,Bungalow with Air-Conditioner,1 full bed,"   65,989"
The Sunnery Ville,Lom Kao,8.4,Very Good,118,8.7,King Room with Mountain View,1 king bed,"   102,865"
Anana Ecological Resort Krabi-SHA Extra Plus,Ao Nang Beach,8.9,Excellent,"1,128",9.2,Superior Double or Twin Room,1 king bed,"   206,895"
Hotel Ibis Samui Bophut,Bophut,7.6,Good,"1,183",8,Standard Twin Room,2 twin beds,"   93,885"
VST Residence -SHA PLUS Certified,Ban Khlong Bang Ping,8.4,Very Good,79,8.8,Superior Twin Room,2 twin beds,"   80,222"
VST Residence -SHA PLUS Certified,Ban Khlong Bang Ping,8.4,Very Good,79,8.8,Superior Twin Room,2 twin beds,"   80,222"
Na Siri Lake View,Samut Prakan,7.6,Good,"1,019",8,Apartment with Garden View,2 twin beds,"   76,392"
Hivetel,Chalong,7.8,Good,222,8.2,Standard Double Room,1 king bed,"   84,230"
Hotel Tide Phuket Beach front - SHA Plus,Phuket,8.4,Very Good,"1,664",9,Deluxe Room,1 queen bed,"   192,737"
Amatara Welleisure Resort - SHA Extra Plus,Panwa Beach,8.6,Excellent,727,8.9,Cape Panwa Suite,1 king bed,"   510,887"
Style Paidoi Resort,Ban Pa Yang (3),9.6,Exceptional,7,9.6,Tent,1 full bed,"   74,780"
The Heritage Chiang Rai Hotel and Convention - SHA Extra Plus,Chiang Rai,8.7,Excellent,828,9.1,Deluxe Double Room,1 king bed,"   109,504"
Koh Tao Relax Freedom Beach Resort,"Chalok Baan Kao, Ko Tao",9,Wonderful,537,9.1,Superior House - Hillside (Free pick up and drop off at Mae Haad Pier),1 king bed,"   153,882"
@T Boutique Hotel,Klong Wan,8.2,Very Good,275,8.4,Family Room,"3 beds (1 full, 2 bunk beds)","   238,797"
Rayong Marriott Resort & Spa,Klaeng,7.9,Good,340,8.3,Deluxe King Room with Mountain View,"2 beds (1 full, 1 king)","   316,862"
Tiki Beach Koh Phangan,Ban Tai,8,Very Good,532,,Deluxe Bungalow with Garden View,"2 beds (1 twin, 1 full)","   166,733"
Coconut Beach Bungalows,Chaloklum,9.3,Wonderful,100,9.2,Two-Bedroom Bungalow,2 queen beds,"   339,875"
Venice Krabi Villa Resort- SHA Plus,Ao Nam Mao,8.9,Excellent,345,9.6,Lagoon Grand Deluxe Twin,2 twin beds,"   203,026"
O2 Hotel Lopburi,Lop Buri,7.6,Good,425,8.2,Superior King Room,1 king bed,"   54,991"
Hotel Agnes,Buriram,8.8,Excellent,53,9.2,Large Twin Room,Multiple bed types,"   93,161"
The Dorm Hostel,Ban Lo Long,8.7,Excellent,90,8.9,Bunk Bed in Mixed Dormitory Room,1 queen bed,"   40,269"
Somerset Pattaya - SHA Plus,Pattaya,8.9,Excellent,159,9.3,Deluxe Twin Room,2 twin beds,"   323,004"
Inpawa Hotel,Ban Phai,8.2,Very Good,99,8.6,Superior Double Room,1 queen bed,"   77,634"
Chiangkhong Teak Garden Riverfront Onsen Hotel- SHA Extra Plus,Chiang Khong,8.3,Very Good,192,8.7,Resort Garden View,Multiple bed types,"   87,809"
Island Escape by Burasari - SHA Extra Plus,Phuket,8.5,Very Good,"1,388",9.2,Deluxe Room with Schedule Boat Transfer,   1 double or 2 twins,"   318,817"
???????????????? ???????? Double D hotel,Pak Kret,8.6,Excellent,43,8.9,Deluxe King Room,1 king bed,"   86,756"
"Tawaravadee Resort, BW Signature Collection","304 Industrial Park, Si Maha Phot",8.2,Very Good,96,8.8,Superior Double Room,1 full bed,"   88,520"
Lub d Phuket Patong,Patong Beach,8.1,Very Good,893,8.4,Junior Twin Room,2 twin beds,"   85,926"
The Waters Khao Lak by Katathani - SHA Extra Plus,"Bang Niang Beach, Khao Lak",8.7,Excellent,358,9,Upper Pool Access Room,   1 double or 2 twins,"   157,856"
VILLA DEVA RESORT AND HOTEL,"Sathorn, Thung Maha Mek",9.7,Exceptional,9,9.7,Deluxe Twin Pool View,2 twin beds,"   511,090"
Panviman Chiang Mai Spa Resort,Mae Rim,8.7,Excellent,257,8.9,Valley Deluxe Double Room,1 king bed,"   191,486"
Napa Hotel Ratchaburi,Ratchaburi,8.5,Very Good,134,8.8,Superior Twin Room,2 twin beds,"   78,558"
Centre Point Hotel Terminal21 Korat,Nakhon Ratchasima,8.9,Excellent,866,9.4,Deluxe King Room 2 Pax,1 king bed,"   124,492"
Fortune River View Hotel Nakhon Phanom,Nakhon Phanom,8.2,Very Good,324,8.6,Deluxe River View Room,2 twin beds,"   153,903"
Fortune Riverview Hotel Chiang Khong,Chiang Khong,8,Very Good,189,8.5,Superior Double or Twin Room with Pool View,Multiple bed types,"   113,118"
"Holiday Inn Resort Samui Bophut Beach, an IHG Hotel","Fisherman Village, Bophut",8.7,Excellent,173,9.2,Standard King Room with Balcony,1 king bed,"   245,388"
Outrigger Khao Lak Beach Resort - SHA Extra Plus,"Bangsak Beach, Khao Lak",9.2,Wonderful,407,9.6,Deluxe Garden Balcony - King Bed,1 king bed,"   173,243"
Outrigger Koh Samui Beach Resort - SHA Extra Plus,Lamai,8.5,Very Good,290,9.1,Superior Balcony -King Bed,1 king bed,"   225,835"
Katiliya Mountain Resort And Spa,Mae Salong Nai,8.7,Excellent,161,9,Standard Suite,1 king bed,"   285,952"
Grand Inter Hotel,Samut Sakhon,8.2,Very Good,464,8.4,Deluxe Double Room with Balcony,1 king bed,"   57,084"
JonoX Phuket Karon Hotel,Karon Beach,8.6,Excellent,203,8.7,Recharge,Multiple bed types,"   143,756"
Scandia Beach Hotel,Jomtien Beach,7.3,Good,775,,Superior Twin Room with Balcony,2 twin beds,"   39,771"
Come Moon Loft Hotel,Phrae,8.5,Very Good,321,8.8,Double Room,1 full bed,"   45,998"
Lady Naya Villas - SHA Extra Plus,Rawai Beach,9.1,Wonderful,315,9.3,Deluxe Double or Twin Room with Pool Access,Multiple bed types,"   135,859"
Fortune View Khong Hotel Nakhon Phanom,Nakhon Phanom,8.4,Very Good,343,8.8,Superior Double Room with City View,1 full bed,"   95,793"
Dusit Thani Krabi Beach Resort - SHA Extra Plus,Klong Muang Beach,8.7,Excellent,515,9.1,Deluxe King Room,1 king bed,"   368,524"
Centra by Centara Hotel Mae Sot,Mae Sot,7.7,Good,143,8.3,Superior Twin Room,2 twin beds,"   63,237"
The Oceanic Sportel - SHA Extra Plus,Phuket,8.2,Very Good,669,9.2,Deluxe King Room,1 king bed,"   114,926"
Novotel Marina Sriracha & Koh Si Chang,Si Racha,8.5,Very Good,655,9.1,"Premiere, Deluxe Room, Lounge Access, Sea View - 1 King Bed Sea View and Lounge Access",1 king bed,"   233,253"
????????3???????????????????????,Ban Ko Mu (1),8,Very Good,1 review,10,Budget Double Room,1 full bed,"   32,994"
Riverfront Hotel Mukdahan,Mukdahan,7.8,Good,206,8.1,Standard Double Room,1 queen bed,"   66,959"
The Journey Hotel Bangna,Samut Prakan,8.7,Excellent,469,9.1,Standard King Room,1 full bed,"   68,725"
X10 Khaolak Resort SHA Plus,Khao Lak,8.9,Excellent,178,9.2,Deluxe Double or Twin Room - Family Wing,   1 double or 2 twins,"   136,007"
Namaka Resort Kamala - SHA Extra Plus,Kamala Beach,7.8,Good,905,8.3,Premier Room with Sea View,1 queen bed,"   217,410"
SKYVIEW Hotel Bangkok - SHA Extra Plus,"Khlong Toei, Bangkok",8.6,Excellent,"3,376",9.2,Premier,Multiple bed types,"   360,687"
Diamond Resort Phuket - SHA,Bang Tao Beach,8.8,Excellent,754,9,Deluxe Suite Double,"2 beds (1 full, 1 sofa bed)","   222,840"
Blue Sky Residence Airport,Ban Bang Phli Yai,7.9,Good,221,8.3,Superior Twin Room,2 twin beds,"   57,039"
Sukantara Cascade Resort and Spa,Mae Rim,8.8,Excellent,85,8.8,Deluxe Jacuzzi Panorama,1 queen bed,"   305,915"
Huernnana Boutique Hotel,Phrae,7,Good,95,,Nana Deluxe Twin Room,2 twin beds,"   139,908"
Amari Phuket,Patong Beach,8.2,Very Good,"1,213",8.4,One-Bedroom Suite,1 queen bed,"   610,760"
Paripas Patong Resort - SHA Extra Plus,Patong Beach,8,Very Good,"1,354",8.4,Deluxe Twin or Double Room with Balcony (No View),   1 double or 2 twins,"   116,399"
